ccSeq,ccgSeq,ccName,ccUseNy,ccOrder,ccDelNy
1,1,남성,1,1,0
2,1,여성,1,2,0
3,2,SKT,1,1,0
4,2,KT,1,2,0
5,2,LGT,1,3,0
6,3,10,1,1,0
7,3,11,1,2,0
8,3,12,1,3,0
9,3,16,1,4,0
10,3,17,1,5,0
11,3,19,1,6,0
12,4,naver.com,1,1,0
13,4,daum.net,1,2,0
14,4,gmail.com,1,3,0
15,5,동의,1,1,0
16,5,미동의,1,2,0
17,6,동의,1,1,0
18,6,미동의,1,2,0
19,7,신한,1,1,0
20,7,국민,1,2,0
21,7,우리,1,3,0
22,7,하나,1,4,0
23,7,기업,1,5,0
24,7,카카오뱅크,1,6,0
25,7,토스뱅크,1,7,0
26,7,케이뱅크,1,8,0
27,7,농협,1,9,0
28,7,신협,1,10,0
29,7,새마을금고,1,11,0
30,8,입출금,1,1,0
31,8,예적금,1,2,0
32,8,수익증권,1,3,0
33,9,입금,1,1,0
34,9,출금,1,2,0
35,9,송금,1,3,0
36,10,삼성카드,1,1,0
37,10,하나카드,1,2,0
38,10,KB국민카드,1,3,0
39,10,현대카드,1,4,0
40,10,하나카드,1,5,0
41,10,우리카드,1,6,0
42,10,롯데카드,1,7,0
43,11,Mastercard,1,1,0
44,11,VISA,1,2,0
45,11,AMERICANEXPRESS,1,3,0
46,12,신용카드,1,1,0
47,12,체크카드,1,2,0
48,13,지출,1,1,0
49,13,수입,1,2,0
50,13,이체,1,3,0
51,13,식비,1,1,0
52,14,카페/간식,1,2,0
53,14,술/유흥,1,3,0
54,14,생활,1,4,0
55,14,온라인쇼핑,1,5,0
56,14,패션/쇼핑,1,6,0
57,14,뷰티/미용,1,7,0
58,14,교통,1,8,0
59,14,주거/통신,1,9,0
60,14,문화/여가,1,10,0
61,14,여행/숙박,1,11,0
62,14,반려동물,1,12,0
63,14,경조/선물,1,13,0
64,15,카드,1,1,0
65,15,현금,1,2,0
